public_holiday_calendar_id,date,holiday_name,,Notes,
a163V000000c7AYQAY,2020-10-03,Day of German Unity,,public_holiday_calendar_id,The ID of the public holiday calendar ID.
a160N000005rNQ1QAM,2020-10-03,Tag der dt. Einheit,,date,The date of the holiday.
a163V000000blPRQAY,2020-10-03,Day of German Unity,,holiday_name,The name of the holiday.
a163V000000cDYMQA2,2020-10-03,Tag der Deutschen Einheit,,,
a160N000005rNT5QAM,2020-10-03,Tag der dt. Einheit,,,
a160N000005rNTKQA2,2020-10-03,Tag der dt. Einheit,,,
a160N000005rNS2QAM,2020-10-03,Tag der dt. Einheit,,,
a160N000005rNTUQA2,2020-10-03,Tag der dt. Einheit,,,
a160N0000067D89QAE,2020-10-03,Tag der Deutschen Einheit,,,
a160N000005rNOKQA2,2020-10-03,Tag der dt. Einheit,,,
a160N000005dRiRQAU,2020-10-03,Tag der deutschen Einheit,,,
a160N0000067E64QAE,2020-10-03,Tag der dt. Einheit,,,
a160N000005S24KQAS,2020-10-03,Tag der dt. Einheit,,,
a160N000005rNPcQAM,2020-10-03,Tag der dt. Einheit,,,
a163V0000004EypQAE,2020-10-12,12/10/20,,,
a163V000000c5CIQAY,2020-10-25,DST end,,,
a163V000000c5CIQAY,2020-10-26,Austrian National Holiday,,,
a163V000000blNfQAI,2020-10-26,National day,,,
a160N000005rmILQAY,2020-10-26,Nationalfeiertag,,,
a163V0000004Ho4QAE,2020-10-26,Nationalfeiertag,,,
a163V000000blMDQAY,2020-10-26,National Day,,,
a163V000000cCReQAM,2020-10-26,National Day,,,
a160N000005rNS2QAM,2020-10-31,Reformationstag,,,
a160N000005dRiRQAU,2020-10-31,Reformationstag,,,
a160N000005rNPcQAM,2020-10-31,Reformationstag,,,
a163V000000c5CIQAY,2020-10-31,Halloween,,,
a163V000000blPRQAY,2020-10-31,Reformation Day,,,
a160N000005rNT5QAM,2020-10-31,Reformationstag,,,
a160N0000067D89QAE,2020-11-01,Allerheiligen,,,
a163V000000blMDQAY,2020-11-01,All Saints' Day,,,
a163V000000c7AYQAY,2020-11-01,All Saints' Day,,,
a160N000005rmILQAY,2020-11-01,Allerheiligen,,,
a163V0000004Ho4QAE,2020-11-01,Allerheiligen,,,
a163V000000cCReQAM,2020-11-01,All Saints' Day,,,
a163V0000000XynQAE,2020-11-01,All Saints' Day,,,
a160N000005rNTUQA2,2020-11-01,Allerheiligen,,,
a160N000005rNQ1QAM,2020-11-01,Allerheiligen,,,
a163V000000c5CIQAY,2020-11-01,All Saints' Day,,,
a160N0000067E64QAE,2020-11-01,Allerheiligen,,,
a160N000005rNTKQA2,2020-11-01,Allerheiligen,,,
a163V000000c5CIQAY,2020-11-02,All Souls' Day,,,
a163V0000000L8zQAE,2020-11-02,2/11/20,,,
a163V0000000L8zQAE,2020-11-09,9/11/20,,,
a163V0000000XynQAE,2020-11-11,Armistice Day,,,
a160N000005rNPcQAM,2020-11-18,Buß- und Bettag,,,
a163V000000c5CIQAY,2020-11-22,Ewigkeitssonntag,,,
a163V000000c5CIQAY,2020-11-29,First Advent,,,
